	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
AC002470.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC002470.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC002472.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.1	10	5	2	0	0	0	9	0	0	14	1	0	0	0	0	0	0	6	0	0
AC002480.2	0	1	0	0	0	0	2	0	0	2	3	0	0	0	4	0	0	0	0	0
AC002486.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002504.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC002519.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002524.1	13	19	10	0	5	15	5	10	11	18	11	8	0	7	5	7	11	7	13	9
AC002525.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002529.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002540.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.2	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	4	0	0	0	0
AC002551.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002553.1	2	1	1	0	0	0	1	0	0	6	2	1	0	0	0	3	0	5	0	0
AC002553.2	0	2	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002558.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC002558.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002563.1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0
AC002980.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003070.1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0
AC003070.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003071.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003072.1	6	2	0	0	0	0	15	0	0	14	1	0	0	0	0	11	0	9	0	0
AC003072.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003084.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003086.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC003087.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003092.1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0
AC003092.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003093.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003098.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003102.1	4	2	0	0	0	3	20	0	3	16	1	2	0	0	4	10	0	27	0	0
AC003109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003659.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003666.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003681.1	5	8	0	0	4	0	7	0	4	10	6	5	0	0	4	20	0	27	0	0
AC003682.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003684.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003685.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003686.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003687.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003688.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003950.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
AC003957.1	2	6	2	0	0	1	19	0	0	13	3	2	2	5	6	20	0	18	0	0
AC003958.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003965.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
AC003965.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0
AC003975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003991.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003991.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC003992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004000.1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0
AC004004.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004023.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004024.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004034.1	1	0	0	0	0	2	4	0	4	0	0	1	0	0	0	0	0	4	0	0
AC004039.1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
AC004047.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004052.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004057.1	9	11	2	9	0	0	31	0	1	23	13	1	4	0	2	0	0	63	0	1
AC004062.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004067.1	1	1	0	0	0	0	2	0	2	4	2	2	0	0	0	4	0	2	0	0
AC004069.1	3	3	0	0	0	0	2	0	0	2	4	1	0	0	1	0	0	8	0	0
AC004069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004076.2	1	0	1	0	4	0	2	0	0	2	0	0	0	0	0	10	0	4	0	0
AC004079.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004083.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004112.1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004125.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004130.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004130.2	3	8	1	0	0	0	1	0	0	8	10	1	0	0	0	0	0	0	0	0
AC004134.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004148.1	10	12	12	0	4	3	37	0	8	32	11	7	0	5	4	50	1	50	0	5
AC004156.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004158.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004160.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004217.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004217.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004221.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004223.1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0
AC004223.2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
AC004223.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004223.4	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004224.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004224.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004231.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AC004231.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004232.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004232.2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004233.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004233.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004233.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004241.1	3	2	0	1	0	0	4	0	0	6	2	0	0	0	0	5	0	7	0	0
AC004241.2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC004241.3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
AC004241.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AC004241.5	0	3	0	0	0	0	3	0	0	4	0	1	0	0	0	0	0	4	0	0
AC004253.1	2	4	0	0	0	0	4	0	0	2	6	1	0	0	4	0	0	7	0	0
AC004253.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004257.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004263.1	0	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AC004263.2	1	3	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	8	0	0
AC004264.1	3	0	0	0	0	2	10	3	2	8	0	1	0	0	7	0	1	15	5	0
AC004264.2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004381.1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004381.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004381.3	0	0	0	0	0	0	2	0	0	4	0	0	0	3	0	16	0	4	0	0
AC004381.4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004383.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004408.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004408.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004449.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004453.1	19	15	7	7	2	0	33	0	4	48	28	2	3	4	2	16	0	45	0	0
AC004453.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004461.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004461.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004461.3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0
AC004464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004466.1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	5	0	0
AC004466.2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	11	0	0
AC004466.3	1	1	1	0	0	0	2	0	4	4	0	0	0	0	0	0	0	9	0	0
AC004467.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004470.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004470.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004471.1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	0
AC004471.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC004477.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004477.2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	4	0	0
AC004485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004486.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0
AC004490.1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
AC004491.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004492.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004494.1	2	4	0	0	0	0	13	0	4	12	6	1	6	0	0	15	0	28	0	0
AC004494.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004540.1	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	4	0	3	0	0
AC004540.2	1	3	0	0	0	3	2	1	0	5	0	0	0	0	0	8	0	2	0	0
AC004542.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004543.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004549.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004552.1	0	2	1	0	0	0	4	0	1	8	13	0	0	0	0	0	0	9	0	0
AC004554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004554.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004584.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004584.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AC004584.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004585.1	52	17	10	10	5	0	109	0	2	101	13	9	0	0	7	9	0	188	0	6
AC004585.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004593.1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004593.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004594.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004596.1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	4	0	0	5	0	0
AC004597.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004623.1	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	5	0	0	0	0
AC004637.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004672.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004672.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004674.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
